country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Italy,aromas include tropical fruit broom brimstone dry herb palate isnt overly expressive offer unripened apple citrus dry sage alongside brisk acidity ,Vulkà Bianco,87,25.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Nicosia
Portugal,ripe fruity wine smooth still structure firm tannins fill juicy red berry fruit freshen acidity already drinkable although certainly better 2016 ,Avidagos,87,15.0,Douro,,,Roger Voss,@vossroger,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
US,tart snappy flavor lime flesh rind dominate green pineapple poke crisp acidity underscore flavor wine stainlesssteel ferment ,,87,14.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,Rainstorm
US,pineapple rind lemon pith orange blossom start aromas palate bite opulent note honeydrizzled guava mango give way slightly astringent semidry finish ,Reserve Late Harvest,87,13.0,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian
US,much like regular bottle 2012 come across rather rough tannic rustic earthy herbal characteristics nonetheless think pleasantly unfussy country wine good companion hearty winter stew ,Vintner's Reserve Wild Child Block,87,65.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
Spain,blackberry raspberry aromas show typical navarran whiff green herbs case horseradish mouth fairly full body tomatoey acidity spicy herbal flavor complement dark plum fruit finish fresh grabby ,Ars In Vitro,87,15.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
Italy,heres bright informal red open aromas candy berry white pepper savory herb carry palate balance fresh acidity soft tannins ,Belsito,87,16.0,Sicily & Sardinia,Vittoria,,Kerin O’Keefe,@kerinokeefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
France,dry restrain wine offer spice profusion balance acidity firm texture much food ,,87,24.0,Alsace,Alsace,,Roger Voss,@vossroger,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach
Germany,savory dry thyme note accent sunnier flavor preserve peach brisk offdry wine fruity fresh elegant sprightly footprint ,Shine,87,12.0,Rheinhessen,,,Anna Lee C. Iijima,,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel
France,great depth flavor fresh apple pear fruit touch spice dry balance acidity crisp texture drink ,Les Natures,87,27.0,Alsace,Alsace,,Roger Voss,@vossroger,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
US,soft supple plum envelop oaky structure cabernet support 15 merlot coffee chocolate complete picture finish strong end result valuepriced wine attractive flavor immediate accessibility ,Mountain Cuvée,87,19.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature
France,dry wine spicy tight taut texture strongly mineral character layer citrus well pepper food wine almost crisp aftertaste ,,87,30.0,Alsace,Alsace,,Roger Voss,@vossroger,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,Leon Beyer
US,slightly reduce wine offer chalky tannic backbone otherwise juicy explosion rich black cherry whole accent throughout firm oak cigar box ,,87,34.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini
Italy,dominate oak oakdriven aromas include roast coffee bean espresso coconut vanilla carry palate together plum chocolate astringent dry tannins give rather abrupt finish ,Rosso,87,25.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Masseria Setteporte 2012 Rosso  (Etna),Nerello Mascalese,Masseria Setteporte
US,build 150 years six generations winemaking tradition winery trend toward leaner style classic california buttercream aroma cut tart green apple good everyday sip wine flavor range pear barely ripe pineapple prove approachable distinctive ,,87,12.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,Mirassou
